CDREDE,DE,CODMUN,MUN,CATEG,TIPOESC,COD_ESC,NOMESC,AL_ALEMAO,AL_ESPANHOL,AL_FRANCES,AL_INGLES,AL_ITALIANO,AL_JAPONES,AL_MANDARIM,TOTAL-AL-DU,AL_ALEMAO_SAB_SEMANA,AL_ESPANHOL_SAB_SEMANA,AL_FRANCES_SAB_SEMANA,AL_INGLES_SAB_SEMANA,AL_ITALIANO_SAB_SEMANA,AL_JAPONES_SAB_SEMANA,AL_MANDARIM_SAB_SEMANA,TOTAL-AL-SAB-SEMANA,AL_ALEMAO_SAB,AL_ESPANHOL_SAB,AL_FRANCES_SAB,AL_INGLES_SAB,AL_ITALIANO_SAB,AL_JAPONES_SAB,AL_MANDARIM_SAB,TOTAL-AL-SAB,CL_ALEMAO,CL_ESPANHOL,CL_FRANCES,CL_INGLES,CL_ITALIANO,CL_JAPONES,CL_MANDARIM,TOTAL-CL-DU,CL_ALEMAO_SAB_SEMANA,CL_ESPANHOL_SAB_SEMANA,CL_FRANCES_SAB_SEMANA,CL_INGLES_SAB_SEMANA,CL_ITALIANO_SAB_SEMANA,CL_JAPONES_SAB_SEMANA,CL_MANDARIM_SAB_SEMANA,TOTAL-CL-SAB-SEMANA,CL_ALEMAO_SAB,CL_ESPANHOL_SAB,CL_FRANCES_SAB,CL_INGLES_SAB,CL_ITALIANO_SAB,CL_JAPONES_SAB,CL_MANDARIM_SAB,TOTAL-CL-SAB,AL-TOTAL-TOTAL,CL-TOTAL-TOTAL
10208,LESTE 4,100,SAO PAULO,2,6,411875,CEL JTO A EE DONA ZALINA ROLIM ,0,178,0,99,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,13
10210,LESTE 2,100,SAO PAULO,2,6,458272,CEL JTO A EE DOM PEDRO I,0,112,35,35,0,31,0,213,0,0,0,0,0,0,0,0,0,429,87,175,56,15,0,762,0,5,2,1,0,2,0,10,0,0,0,0,0,0,0,0,0,17,3,5,2,1,0,28,975,38
10211,LESTE 3,100,SAO PAULO,2,6,985089,CEL JTO A EE FADLO HAIDAR,44,763,132,208,25,128,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,8,12,2,7,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,71
10312,CENTRO OESTE,100,SAO PAULO,2,6,431850,CEL JTO A EE PEREIRA BARRETO,0,80,0,31,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,4
10312,CENTRO OESTE,100,SAO PAULO,2,6,985132,CEL JTO A EE RUI BLOEM,0,183,81,77,0,73,0,414,0,0,0,0,0,0,0,0,0,76,0,23,0,0,0,99,0,9,4,3,0,3,0,19,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,5,513,24
10314,SUL 2,100,SAO PAULO,2,6,985156,CEL JTO A EE LEOPOLDO SANTANA PROFESSOR,79,370,231,101,0,67,0,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,11,4,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848,38
10316,CENTRO SUL,100,SAO PAULO,2,6,498634,CEL JTO A EE ROOSEVELT PRESIDENTE,0,214,75,40,0,30,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,4,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,25
10316,CENTRO SUL,100,SAO PAULO,2,6,985120,CEL JTO A EE ALEXANDRE DE GUSMAO,26,307,95,9,37,106,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,7,1,4,7,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,38
10316,CENTRO SUL,100,SAO PAULO,2,6,985788,CEL JTO A EE JULIA MACEDO PANTOJA PROFESSORA,0,347,78,25,48,90,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,1,4,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,33
10317,SUL 1,100,SAO PAULO,2,6,5029,CEL JTO A EE MÉXICO,0,70,0,32,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,4
10317,SUL 1,100,SAO PAULO,2,6,482341,CEL JTO A EE PLINIO NEGRAO,80,105,53,52,22,21,0,333,0,0,0,0,0,0,0,0,19,123,28,22,14,94,0,300,7,9,5,6,4,3,0,34,0,0,0,0,0,0,0,0,2,7,2,2,1,5,0,19,633,53
10318,SUL 3,100,SAO PAULO,2,6,29828,CEL JTO A EE LAERTE RAMOS PROF DR,0,493,0,164,0,140,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,5,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,27
10318,SUL 3,100,SAO PAULO,2,6,458351,CEL JTO A EE ESTHER GARCIA PROFA,19,32,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,7
10318,SUL 3,100,SAO PAULO,2,6,458399,CEL JTO A EE ALBERTO SALOTTI PROF,0,238,48,26,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,15
10318,SUL 3,100,SAO PAULO,2,6,985168,CEL JTO A EE PAULINO NUNES ESPOSO,0,235,0,63,0,0,0,298,0,0,0,0,0,0,0,0,0,40,0,34,0,0,0,74,0,11,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,372,16
10401,CAIEIRAS,239,CAIEIRAS,2,6,499729,CEL JTO A EE WALTHER WEISZFLOG,69,259,0,68,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,15
10401,CAIEIRAS,241,CAJAMAR,2,6,458405,CEL JTO A EE WALTER RIBAS DE ANDRADE PROF,0,0,0,69,0,0,0,69,0,0,0,0,0,0,0,0,0,29,0,66,0,0,0,95,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,164,6
10401,CAIEIRAS,311,FRANCISCO MORATO,2,6,985659,CEL JTO A EE CELESTINA VALENTE LEGENFELDER,0,188,0,68,0,0,0,256,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,7,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,356,12
10401,CAIEIRAS,312,FRANCO DA ROCHA,2,6,499742,CEL JTO A EE BENEDITO FAGUNDES MARQUES,0,351,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,31,0,34,0,0,0,65,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,416,16
10402,GUARULHOS SUL,336,GUARULHOS,2,6,985673,CEL JTO A EE ALICE CHUERY PROFESSORA,0,353,149,105,0,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,28
10403,GUARULHOS NORTE,336,GUARULHOS,2,6,407331,CEL JTO A EE CONRADO SIVILA ALSINA PADRE,0,492,0,249,170,0,0,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,8,5,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,32
10501,MOGI DAS CRUZES,454,MOGI DAS CRUZES,2,6,458594,CEL JTO A EE FIRMINO LADEIRA PROF,0,235,36,90,23,52,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,4,2,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,24
10501,MOGI DAS CRUZES,454,MOGI DAS CRUZES,2,6,985752,CEL JTO A EE FRANCISCO FERREIRA LOPES,0,726,70,259,62,71,50,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,10,3,3,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238,54
10502,SUZANO,305,FERRAZ DE VASCONCELOS,2,6,496443,CEL JTO A EE PROFA IGNES CORREA ALLEN,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3
10502,SUZANO,672,SUZANO,2,6,985181,CEL JTO A EE RAUL BRASIL PROFESSOR,0,1162,231,28,77,147,0,1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,9,1,4,5,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1645,67
10503,ITAQUAQUECETUBA,379,ITAQUAQUECETUBA,2,6,458545,CEL JTO A EE ZILDA BRACONI AMADOR PROFA,0,149,0,60,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,11
10503,ITAQUAQUECETUBA,546,POA,2,6,446026,CEL JTO A EE PAULO EDUARDO OLINTHO REHDER JORNALISTA,0,210,0,88,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,12
10601,DIADEMA,286,DIADEMA,2,6,499161,CEL JTO A EE ORIGENES LESSA,19,110,0,42,0,0,0,171,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,22,2,5,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,193,10
10602,MAUA,442,MAUA,2,6,458570,CEL JTO A EE OLAVO HANSEN,0,349,0,58,0,0,0,407,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,88,0,12,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,495,17
10602,MAUA,442,MAUA,2,6,985570,CEL JTO A EE MARLENE CAMARGO RIBEIRO,0,366,0,62,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,15
10602,MAUA,581,RIBEIRAO PIRES,2,6,458557,CEL JTO A EE FELICIO LAURITO DR,0,131,0,32,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,35,0,7,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,198,9
10603,SANTO ANDRE,626,SANTO ANDRE,2,6,985193,CEL JTO A EE PROF AMARAL WAGNER,0,328,166,54,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,24
10606,SAO BERNARDO DO CAMPO,635,SAO BERNARDO DO CAMPO,2,6,985200,CEL JTO A EE 20 DE AGOSTO,24,404,14,97,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,21
10606,SAO BERNARDO DO CAMPO,636,SAO CAETANO DO SUL,2,6,985211,CEL JTO A EE IDALINA MACEDO COSTA SODRE DONA,0,63,16,35,0,3,0,117,0,0,0,0,0,0,0,0,30,76,0,31,0,6,0,143,0,5,3,3,0,1,0,12,0,0,0,0,0,0,0,0,1,4,0,2,0,2,0,9,260,21
10701,CARAPICUIBA,255,CARAPICUIBA,2,6,407410,CEL JTO A EE WILLIAN RODRIGUES REBUA,0,234,62,35,0,0,0,331,0,0,0,0,0,0,0,0,0,36,31,0,0,0,0,67,0,10,3,1,0,0,0,14,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,398,17
10701,CARAPICUIBA,278,COTIA,2,6,985223,CEL JTO A EE PEDRO CASEMIRO LEITE PROFESSOR,51,470,98,113,45,71,0,848,0,0,0,0,0,0,0,0,28,75,0,35,19,20,0,177,3,21,5,4,2,4,0,39,0,0,0,0,0,0,0,0,1,3,0,1,1,1,0,7,1025,46
10702,ITAPECERICA DA SERRA,370,ITAPECERICA DA SERRA,2,6,434848,CEL JTO A EE NATERCIA CREMM DE MORAES PEDRO PROFESSORA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,70,4
10702,ITAPECERICA DA SERRA,370,ITAPECERICA DA SERRA,2,6,985697,CEL JTO A EE ASA BRANCA DA SERRA,0,140,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,5
10704,OSASCO,492,OSASCO,2,6,429351,CEL JTO A EE PROFESSORA FANNY MONZONI SANTOS,0,22,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
10704,OSASCO,492,OSASCO,2,6,458624,CEL JTO A EE JOAO BAPTISTA DE BRITO PROF,0,159,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,6
10704,OSASCO,492,OSASCO,2,6,985235,CEL JTO A EE ANTONIO RAPOSO TAVARES,0,408,170,89,22,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,3,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,27
20102,SANTOS,335,GUARUJA,2,6,460345,CEL JTO A EE MARCÍLIO DIAS,0,42,0,35,23,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5
20102,SANTOS,335,GUARUJA,2,6,460370,CEL JTO A PROFA THEREZA SILVEIRA DE ALMEIDA,0,22,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4
20102,SANTOS,633,SANTOS,2,6,564801,CEL JTO A ZULMIRA CAMPOS,0,266,0,47,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,11
20102,SANTOS,633,SANTOS,2,6,985594,CEL JTO A EE OLGA CURY,4,10,0,8,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4
20103,SAO VICENTE,369,ITANHAEM,2,6,985624,CEL JTO A EE BENEDITO CALIXTO,0,358,0,86,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,20
20103,SAO VICENTE,459,MONGAGUA,2,6,464004,CEL JTO A EE AIDA LEDA BAUER DAVIES PROFESSORA,0,73,0,10,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,6
20103,SAO VICENTE,524,PERUIBE,2,6,435740,CEL JTO A EE OTTONIEL JUNQUEIRA PROFESSOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,17,2
20103,SAO VICENTE,558,PRAIA GRANDE,2,6,435752,CEL JTO A EE REYNALDO KUNTZ BUSCH DOUTOR,0,319,28,106,0,0,0,453,0,0,0,0,0,0,0,0,0,74,24,0,0,0,0,98,0,15,2,4,0,0,0,21,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,551,25
20103,SAO VICENTE,657,SAO VICENTE,2,6,985247,CEL JTO A EE MARTIM AFONSO,0,372,149,124,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,23
20202,GUARATINGUETA,235,CACHOEIRA PAULISTA,2,6,459161,CEL JTO A EE SEVERINO MOREIRA BARBOSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,17,1
20202,GUARATINGUETA,282,CRUZEIRO,2,6,985260,CEL JTO A EE OSVALDO CRUZ,0,26,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,16,0,14,0,0,0,30,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,56,4
20202,GUARATINGUETA,284,CUNHA,2,6,459203,CEL JTO A EE PAULO VIRGINIO,41,86,0,57,0,0,0,184,0,0,0,0,0,0,0,0,0,116,0,65,0,0,0,181,2,4,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,6,365,14
20202,GUARATINGUETA,332,GUARATINGUETA,2,6,985557,CEL JTO A EE RODRIGUES ALVES CONSELHEIRO,37,187,0,105,0,0,0,329,0,0,0,0,0,0,0,0,15,214,0,88,0,0,0,317,2,9,0,3,0,0,0,14,0,0,0,0,0,0,0,0,1,8,0,3,0,0,0,12,646,26
20204,PINDAMONHANGABA,246,CAMPOS DO JORDAO,2,6,460254,CEL JTO A EE THEODORO CORREA CINTRA PROF,0,67,0,54,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,5
20204,PINDAMONHANGABA,528,PINDAMONHANGABA,2,6,460278,CEL JTO A EE ALFREDO PUJOL DOUTOR,0,561,0,121,0,0,0,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,23
20204,PINDAMONHANGABA,528,PINDAMONHANGABA,2,6,474770,CEL JTO A EE ANTONIA CARLOTA GOMES PROFESSORA,0,121,0,23,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,7
20204,PINDAMONHANGABA,695,TREMEMBE,2,6,460291,CEL JTO A EE MANUEL CABRAL,0,69,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,35,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,104,4
20205,SAO JOSE DOS CAMPOS,645,SAO JOSE DOS CAMPOS,2,6,460497,CEL JTO A EE JOSE VIEIRA MACEDO PROF,24,161,0,138,0,77,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,5,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,22
20205,SAO JOSE DOS CAMPOS,645,SAO JOSE DOS CAMPOS,2,6,985259,CEL JTO A EE ESTEVAN FERRI PROFESSOR,72,379,111,158,4,133,0,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,7,8,1,7,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857,49
20206,TAUBATE,234,CACAPAVA,2,6,985740,CEL JTO A EE MINISTRO JOSE MOURA RESENDE,0,217,9,69,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,15
20207,JACAREI,392,JACAREI,2,6,459586,CEL JTO A EE FRANCISCO F FERREIRA DA SILVA PROF,0,222,0,70,0,41,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,15
20301,APIAI,176,APIAI,2,6,458168,CEL JTO A EE REGINA DIAS ANTUNES DA SILVA PROFA,0,67,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,4
20302,AVARE,194,AVARE,2,6,985272,CEL JTO A EE JOAO CRUZ,25,322,49,113,34,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,3,4,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,27
20303,BOTUCATU,412,LARANJAL PAULISTA,2,6,458284,CEL JTO A EE LUIZ CAMPACCI,0,209,0,133,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,12
20304,ITAPETININGA,371,ITAPETININGA,2,6,444339,CEL JTO A EE PEIXOTO GOMIDE,0,226,0,55,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,14
20304,ITAPETININGA,687,TATUI,2,6,459288,CEL JTO A EE CHICO PEREIRA,0,59,0,105,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,7
